gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,KO,cell_type,stimulation
TNFAIP3,1737.02637014722,0.594298260706233,0.132345860009229,4.49049377641878,7.10582514531234e-06,0.000419975882754,BATF,Treg,Stimulated
ZNF217,519.568446346643,0.300732804857069,0.0952030066604231,3.15885826935849,0.00158388496956744,0.028697883801936,BATF,Treg,Stimulated
BPTF,593.630663592736,-1.54719466853606,0.077811450694794,-19.8838943975579,5.61052929135406e-88,7.74196936913947e-84,BPTF,Teff,Resting
IL2,23.4732091239664,3.29707778596333,0.764196129545224,4.3144392630272,1.60008515865017e-05,0.0157711250744384,BPTF,Teff,Resting
BPTF,1604.74515324576,-1.48337136168509,0.0635031360846947,-23.3590252882426,1.11581021614672e-120,1.40513980519356e-116,BPTF,Teff,Stimulated
BPTF,315.368285769819,-1.8849093611538,0.111380907890562,-16.9230920886893,3.04040530826462e-64,2.90449919098519e-60,BPTF,Treg,Resting
BPTF,1167.65456160995,-2.22668481072216,0.078303615176389,-28.4365518208356,7.14710421087953e-178,8.98176586181231e-174,BPTF,Treg,Stimulated
ARID5A,194.93030357414,0.771458527475057,0.143399552591581,5.37978336426379,7.45755251330978e-08,4.38873665606284e-06,CBFB,Teff,Resting
BCL11B,456.276768293761,0.684782174902783,0.0693636466433198,9.87234968230628,5.48641071488813e-23,2.91877050032049e-20,CBFB,Teff,Resting
CBFB,206.639509583896,-2.29888351432301,0.177828007567323,-12.9275671800613,3.14617328446401e-38,6.97401744722855e-35,CBFB,Teff,Resting
CREB1,265.039542420372,0.304375369711027,0.0940019153805041,3.23796986985814,0.00120383522608886,0.0185958286956815,CBFB,Teff,Resting
CREM,271.165361116972,0.941958321552217,0.253117174797485,3.72143187164546,0.00019809631350747,0.00425635051639636,CBFB,Teff,Resting
FOXP1,440.458448108376,0.466183547937581,0.0825755143989188,5.64554216017921,1.64661511634335e-08,1.10050156016917e-06,CBFB,Teff,Resting
FOXP3,69.9408194400798,-1.12387416198633,0.334519826227369,-3.35966383416225,0.00078037365353966,0.0130882340379287,CBFB,Teff,Resting
IFNGR2,37.8254073209658,1.46522764775171,0.239635691328447,6.11439656433923,9.69230106296973e-10,8.76922477125833e-08,CBFB,Teff,Resting
IKZF3,75.406367013577,0.949573053724509,0.182431783194362,5.20508563309298,1.93907167360127e-07,1.04835988857304e-05,CBFB,Teff,Resting
IL2,23.4732091239664,-2.78675680659634,0.964383345046675,-2.88967745130591,0.00385637286202294,0.0458077371458583,CBFB,Teff,Resting
IL2RA,382.557161913033,1.16375802528651,0.174929604844998,6.65272196960425,2.87721412171518e-11,3.44747277646954e-09,CBFB,Teff,Resting
IRF1,1575.07358335175,0.439566644608759,0.114375058544523,3.84320366872337,0.00012143860781231,0.00279919147990266,CBFB,Teff,Resting
KLF2,1740.55862983717,-0.647983219989434,0.223316756170916,-2.90163277982373,0.00371223420804332,0.0445361055291047,CBFB,Teff,Resting
KMT2A,763.41310958533,0.341106991895584,0.0716866715930783,4.75830421911399,1.95226117330858e-06,7.73551759352266e-05,CBFB,Teff,Resting
MYB,81.3616186634853,1.02502548504929,0.195486517130584,5.2434587310417,1.57594070604129e-07,8.73333807931213e-06,CBFB,Teff,Resting
MYC,243.622027261671,-0.625371880317568,0.182235837628846,-3.43166244606203,0.00059989373058196,0.0106098226286438,CBFB,Teff,Resting
RUNX1,309.488300447737,1.44888219011079,0.10170241847531,14.2462904209355,4.72734202274453e-46,3.14368244512511e-42,CBFB,Teff,Resting
RUNX3,287.781659259736,1.02809454631512,0.0990989460923567,10.3744246215996,3.24159203580208e-25,2.05300828934131e-22,CBFB,Teff,Resting
SATB1,608.407968260607,0.399551690824539,0.0795167621314889,5.024747991673,5.04094031140277e-07,2.42037928309231e-05,CBFB,Teff,Resting
SOCS3,18.6165268499065,1.04030065799844,0.297307581747562,3.49907207843001,0.00046688035282718,0.00874570897304938,CBFB,Teff,Resting
USP22,195.149954768239,0.353318659434279,0.104342694457071,3.38613701009649,0.00070883983928062,0.012133294546245,CBFB,Teff,Resting
YBX1,1660.30422661696,-0.227436170664855,0.0680991145043619,-3.33978161566677,0.00083844293950619,0.0138353487536381,CBFB,Teff,Resting
ZEB1,339.47963873392,0.429369427460336,0.0821697865088375,5.22539300274507,1.73785592599165e-07,9.51172173485142e-06,CBFB,Teff,Resting
ARID5A,2089.42202339904,0.463347477278555,0.0631290010875727,7.33969283999597,2.14084600200364e-13,1.09602919828069e-11,CBFB,Teff,Stimulated
BATF,2790.38579210608,-0.152504155321833,0.047740521453704,-3.19443840741712,0.00140103177548079,0.0101519721529519,CBFB,Teff,Stimulated
CBFB,919.091678947756,-3.22972360590027,0.0979431224026543,-32.9755017674701,1.82379578039215e-238,2.85715846956235e-234,CBFB,Teff,Stimulated
DDX39B,4135.42710955936,0.10147409144223,0.0312054599054328,3.25180566957655,0.00114674396673926,0.00860387499182822,CBFB,Teff,Stimulated
DNMT1,2384.70142776082,0.0925523490581108,0.0344201987017383,2.68889641980587,0.00716886597854589,0.0395588074744276,CBFB,Teff,Stimulated
ERF,264.771428880303,0.306651160297389,0.0924922219536957,3.31542646311284,0.00091503412316513,0.0071460242141102,CBFB,Teff,Stimulated
ETS1,2860.92332119418,-0.143236799361468,0.0440622516960564,-3.2507825598547,0.00115087841699162,0.00863076174274325,CBFB,Teff,Stimulated
ETV3,217.705589037261,0.366084869661249,0.129389994207133,2.82931359495391,0.0046647965421711,0.0277971482045084,CBFB,Teff,Stimulated
FOXK1,232.398987891391,0.348770655741083,0.0974833037552667,3.57774759682619,0.00034656787283289,0.00308835739237777,CBFB,Teff,Stimulated
FOXN2,701.102931533117,-0.239292419806521,0.0636627703508256,-3.75874971333882,0.00017076455371004,0.00168145663005757,CBFB,Teff,Stimulated
FOXP3,589.638667959955,-2.0494355676917,0.279915986724502,-7.32160957176337,2.4501414199101e-13,1.23025370142025e-11,CBFB,Teff,Stimulated
GFI1,639.682146047891,-0.241830825391489,0.0806915650783378,-2.99697775296232,0.00272670611273546,0.0176369025442253,CBFB,Teff,Stimulated
IFNGR1,288.308050527733,-0.458875760904397,0.100235199346502,-4.57799020599652,4.69464668139513e-06,7.19631457052213e-05,CBFB,Teff,Stimulated
IFNGR2,157.094246708159,1.73547536980466,0.141793899312228,12.2394219936302,1.91390732536425e-34,7.49581803978909e-32,CBFB,Teff,Stimulated
IKZF2,152.556332133692,0.568280920794542,0.204248001641669,2.78230835174353,0.00539737322351233,0.0312588720589812,CBFB,Teff,Stimulated
IL15RA,287.516557900136,0.904412268882881,0.0906944986510102,9.97207418680414,2.01966245944493e-23,3.04231077785233e-21,CBFB,Teff,Stimulated
IL2RB,1975.27473499159,-0.34111524325722,0.0562767521742585,-6.06138823009848,1.34951652061471e-09,4.03464233052481e-08,CBFB,Teff,Stimulated
IL4R,917.601293148619,-0.178276460068453,0.0548104176315929,-3.25260174565234,0.00114353647521126,0.00859215463820603,CBFB,Teff,Stimulated
IRF1,2344.53732354358,1.02634574799986,0.0763229274426185,13.447410658763,3.18843006054992e-41,1.78392661887768e-38,CBFB,Teff,Stimulated
IRF2,703.172321118628,0.289967840444748,0.0751144415355617,3.86034741811223,0.00011322592552555,0.00118887221801832,CBFB,Teff,Stimulated
