sg_target,context,lineage,state,median_activation_score,mean_activation_score,control_median_activation_score,control_mean_activation_score,median_delta_vs_control,mean_delta_vs_control,p_value,padj
FOXO1,Stimulated-Teff,Teff,Stimulated,608.074079200468,574.585094482425,615.298856776435,578.688840507669,-7.22477757596721,-4.10374602524382,0.585675293436649,16.3989082162262
FOXO1,Stimulated-Treg,Treg,Stimulated,598.164079142126,573.039871532546,648.497795670027,611.592588006722,-50.3337165279005,-38.5527164741753,0.000370809044595366,0.0103826532486702
IL2RA,Resting-Teff,Teff,Resting,-299.690209856649,-287.421280535734,-308.42607476262,-272.268229488136,8.73586490597097,-15.153051047598,0.775764014101442,21.7213923948404
IL2RA,Resting-Treg,Treg,Resting,-269.587933656114,-230.454740238629,-260.128164278425,-212.807010627519,-9.45976937768899,-17.64772961111,0.244679984444251,6.85103956443903
IL2RA,Stimulated-Teff,Teff,Stimulated,539.416026377097,506.867258401261,615.298856776435,578.688840507669,-75.8828303993379,-71.8215821064083,7.05509995093818e-20,1.97542798626269e-18
IL2RA,Stimulated-Treg,Treg,Stimulated,521.357311487823,487.549513288665,648.497795670027,611.592588006722,-127.140484182204,-124.043074718056,8.79977813871631e-24,2.46393787884057e-22
IRF1,Resting-Teff,Teff,Resting,-291.749134465866,-253.850017282037,-308.42607476262,-272.268229488136,16.676940296754,18.418212206099,0.00422625896378124,0.118335250985875
IRF1,Resting-Treg,Treg,Resting,-244.134650752682,-187.786954260817,-260.128164278425,-212.807010627519,15.993513525743,25.020056366702,0.00221069645094749,0.0618995006265297
IRF1,Stimulated-Teff,Teff,Stimulated,625.742014661107,599.567630212949,615.298856776435,578.688840507669,10.4431578846715,20.8787897052802,0.0102217394681508,0.286208705108225
IRF1,Stimulated-Treg,Treg,Stimulated,653.112331432116,601.765208592365,648.497795670027,611.592588006722,4.61453576208919,-9.8273794143571,0.444986411599307,12.4596195247806
IRF2,Resting-Teff,Teff,Resting,-317.973519177685,-279.049745189268,-308.42607476262,-272.268229488136,-9.547444415065,-6.78151570113198,0.100751806952547,2.8210505946713
IRF2,Resting-Treg,Treg,Resting,-258.312449291596,-206.54920737185,-260.128164278425,-212.807010627519,1.81571498682899,6.25780325566899,0.651989502396965,18.255706067115
IRF2,Stimulated-Teff,Teff,Stimulated,616.198194444889,582.501172347113,615.298856776435,578.688840507669,0.899337668454336,3.81233183944323,0.514029229440716,14.39281842434
IRF2,Stimulated-Treg,Treg,Stimulated,641.698528958047,604.420761495318,648.497795670027,611.592588006722,-6.79926671198029,-7.17182651140342,0.311834016181324,8.73135245307706
IRF4,Resting-Teff,Teff,Resting,-276.534983744389,-242.337455645268,-308.42607476262,-272.268229488136,31.891091018231,29.930773842868,0.000106991065446198,0.00299574983249355
IRF4,Resting-Treg,Treg,Resting,-238.93025784445,-202.027097667369,-260.128164278425,-212.807010627519,21.197906433975,10.77991296015,0.144961683830759,4.05892714726124
IRF4,Stimulated-Teff,Teff,Stimulated,569.11817351874,536.037391928694,615.298856776435,578.688840507669,-46.1806832576948,-42.6514485789751,7.59172542923546e-06,0.000212568312018593
IRF4,Stimulated-Treg,Treg,Stimulated,538.172510750415,515.013616492501,648.497795670027,611.592588006722,-110.325284919612,-96.5789715142209,7.3519463804926e-12,2.05854498653793e-10
KLF13,Resting-Teff,Teff,Resting,-297.324470775965,-263.928442064231,-308.42607476262,-272.268229488136,11.101603986655,8.33978742390502,0.0333878167320112,0.934858868496314
KLF13,Resting-Treg,Treg,Resting,-250.794582143779,-202.049052157009,-260.128164278425,-212.807010627519,9.33358213464601,10.75795847051,0.117394627095173,3.28704955866485
KLF13,Stimulated-Teff,Teff,Stimulated,623.055944028474,585.36989084407,615.298856776435,578.688840507669,7.75708725203867,6.68105033640052,0.309257245195223,8.65920286546624
KLF13,Stimulated-Treg,Treg,Stimulated,664.070039701389,621.93639179141,648.497795670027,611.592588006722,15.5722440313619,10.3438037846878,0.200002305486947,5.60006455363451
KLF2,Resting-Teff,Teff,Resting,-239.927138785615,-195.292263686375,-308.42607476262,-272.268229488136,68.498935977005,76.975965801761,3.17075183599158e-20,8.87810514077642e-19
KLF2,Resting-Treg,Treg,Resting,-145.240163295602,-79.1004058949404,-260.128164278425,-212.807010627519,114.888000982823,133.706604732579,1.6904080972995e-32,4.7331426724386e-31
KLF2,Stimulated-Teff,Teff,Stimulated,632.681853792922,597.131735783136,615.298856776435,578.688840507669,17.3829970164869,18.4428952754663,0.0221478234070749,0.620139055398099
KLF2,Stimulated-Treg,Treg,Stimulated,669.107933017988,642.123452954064,648.497795670027,611.592588006722,20.6101373479607,30.5308649473425,0.0109485306159612,0.306558857246914
LEF1,Resting-Teff,Teff,Resting,-292.454977003945,-258.318534171292,-308.42607476262,-272.268229488136,15.971097758675,13.949695316844,0.013963432988384,0.390976123674752
LEF1,Resting-Treg,Treg,Resting,-260.966845769755,-205.56292128264,-260.128164278425,-212.807010627519,-0.838681491330021,7.244089344879,0.709585443056519,19.8683924055825
LEF1,Stimulated-Teff,Teff,Stimulated,613.383206079339,582.580206833446,615.298856776435,578.688840507669,-1.91565069709623,3.8913663257772,0.381786737528325,10.6900286507931
LEF1,Stimulated-Treg,Treg,Stimulated,633.182926095486,594.780628773718,648.497795670027,611.592588006722,-15.3148695745405,-16.8119592330036,0.0514501226235818,1.44060343346029
MED11,Resting-Teff,Teff,Resting,-255.369480900646,-217.780920632396,-308.42607476262,-272.268229488136,53.056593861974,54.48730885574,1.70964036065912e-12,4.78699300984555e-11
MED11,Resting-Treg,Treg,Resting,-186.886675203094,-149.581477780881,-260.128164278425,-212.807010627519,73.241489075331,63.225532846638,8.81066696294545e-16,2.46698674962473e-14
MED11,Stimulated-Teff,Teff,Stimulated,573.36951450246,550.360648049847,615.298856776435,578.688840507669,-41.9293422739755,-28.3281924578222,0.00078741113715848,0.0220475118404374
MED11,Stimulated-Treg,Treg,Stimulated,561.736083217668,531.197528339819,648.497795670027,611.592588006722,-86.7617124523593,-80.3950596669024,2.06344907049224e-12,5.77765739737828e-11
MED12,Resting-Teff,Teff,Resting,-211.293769291424,-169.377634974672,-308.42607476262,-272.268229488136,97.132305471196,102.890594513464,3.16611825752416e-80,8.86513112106766e-79
MED12,Resting-Treg,Treg,Resting,-206.7525908582,-182.105872824858,-260.128164278425,-212.807010627519,53.375573420225,30.701137802661,7.22333039122695e-26,2.02253250954355e-24
MED12,Stimulated-Teff,Teff,Stimulated,545.03718271561,516.135673974612,615.298856776435,578.688840507669,-70.2616740608246,-62.5531665330568,1.16514360175353e-37,3.26240208490987e-36
MED12,Stimulated-Treg,Treg,Stimulated,575.71128610355,538.500295540369,648.497795670027,611.592588006722,-72.7865095664768,-73.092292466353,6.73875289327935e-29,1.88685081011822e-27
MED24,Resting-Teff,Teff,Resting,-274.299496057759,-230.801223208322,-308.42607476262,-272.268229488136,34.126578704861,41.467006279814,4.99466319209245e-13,1.39850569378589e-11
MED24,Resting-Treg,Treg,Resting,-223.926880445411,-176.014971186887,-260.128164278425,-212.807010627519,36.201283833014,36.792039440632,1.09281888030793e-13,3.0598928648622e-12
