gene,k562_de,k562_ad,is_control
NEDD8-MDP1,523,969,False
GINS4,519,535,False
NUP62,519,781,False
TTC1,519,608,False
MCM6,517,567,False
MRPL46,517,567,False
ANKRD11,515,649,False
RPAP1,514,1184,False
URB2,510,552,False
RFC3,506,561,False
ZNF84,505,634,False
SETDB1,505,541,False
CHERP,504,521,False
PSMD6,503,725,False
CNOT9,502,537,False
PHAX,501,723,False
MRPL2,500,509,False
NAF1,500,616,False
RPS2,499,779,False
XPO5,498,591,False
TFAP4,496,966,False
NDUFB4,495,517,False
PPP2R1A,495,1031,False
LSM5,494,574,False
WDR7,493,593,False
CINP,492,553,False
CLTC,492,667,False
MARS,491,537,False
MRPL17,490,517,False
CWF19L2,489,722,False
ATP5PD,489,543,False
UFL1,489,515,False
NDUFAB1,488,511,False
PABPN1,487,682,False
NOP16,486,669,False
SRRM2,486,496,False
EPS8L1,485,1105,False
PCNX3,485,554,False
CBLL1,484,550,False
HINFP,482,594,False
HSPA5,481,664,False
LSM11,481,514,False
POLRMT,481,1123,False
SEC61A1,479,715,False
RPL4,476,653,False
RPS28,476,747,False
BOD1L1,476,511,False
INPPL1,472,628,False
BYSL,472,956,False
HNRNPU,470,567,False
DDX18,469,738,False
LMO2,469,1102,False
EIF3E,468,539,False
RRP9,465,705,False
PPAN,464,575,False
MNAT1,463,681,False
CCNH,462,648,False
SPCS3,462,533,False
NMD3,461,547,False
POLR1A,461,807,False
MRPL38,460,500,False
EPRS,459,626,False
GPS2,459,598,False
LSM7,459,611,False
RAMAC,458,718,False
PSMC1,457,689,False
RPS19BP1,457,599,False
NOLC1,456,453,False
SNRPD3,456,776,False
XRN2,456,477,False
ELP5,455,457,False
CARF,453,623,False
NOL8,452,595,False
EXOSC3,451,926,False
PDRG1,450,677,False
CFDP1,447,510,False
PTGR2,447,599,False
SRSF10,447,475,False
TIMM13,447,530,False
RBM17,446,452,False
RPL37A,446,637,False
IMPDH2,445,567,False
SURF6,445,503,False
FOXO1,443,692,False
DERL2,442,945,False
RFC5,441,594,False
NCL,440,610,False
PTCD1,440,493,False
ZBTB17,440,1022,False
TEFM,437,545,False
CCNC,435,564,False
RBM28,435,639,False
DDX55,434,477,False
ZC3H3,433,549,False
EIF3F,432,525,False
POP5,432,622,False
ZNF574,431,444,False
RPS13,431,690,False
MRPS23,429,453,False
MRPS11,428,528,False
RPP14,428,678,False
RPS9,428,952,False
TMEM242,427,494,False
ZFC3H1,426,459,False
CTDP1,426,760,False
MRPL4,426,423,False
POLR2M,426,627,False
SLC35G2,426,492,False
PSMC2,425,671,False
TAF3,425,521,False
CLNS1A,424,518,False
ATP5MF,424,455,False
TARDBP,424,450,False
MYBBP1A,422,515,False
ACTL6A,419,459,False
RPS27A,419,614,False
SEH1L,419,500,False
THG1L,419,493,False
PNPT1,418,864,False
SAE1,417,459,False
IWS1,415,479,False
BDP1,415,852,False
U2AF2,415,466,False
ALG13,414,694,False
UTP6,414,649,False
CHD4,413,466,False
INTS9,412,629,False
MAK16,412,521,False
PSMB7,412,507,False
FAM136A,409,1336,False
MBD3,409,503,False
PRIM2,409,579,False
RBM25,409,486,False
GLB1,407,789,False
MCM10,407,465,False
RFC2,407,450,False
LZTR1,406,452,False
EXOSC9,404,707,False
TIMM9,404,442,False
RACK1,402,549,False
ARPC1B,402,447,False
TNRC6A,399,532,False
RRP1,397,597,False
SERBP1,397,425,False
SMC3,397,747,False
ABT1,394,555,False
